,RateCodeID,icon,hour,count
1016,1,fog,11,15086
1017,6,wind,17,5
1018,3,clear-night,19,315
1019,5,rain,3,1226
1020,1,partly-cloudy-day,10,306531
1021,3,rain,15,179
1022,5,fog,15,532
1023,1,clear-day,20,149637
1024,99,partly-cloudy-night,5,1
1025,6,,3,1
1026,3,cloudy,5,119
1027,3,partly-cloudy-day,16,698
1028,3,cloudy,4,90
1029,2,snow,12,55
1030,6,snow,7,1
1031,5,,9,1653
1032,2,,5,81
1033,99,wind,9,1
1034,1,clear-day,13,851351
1035,5,partly-cloudy-night,20,8061
1036,3,partly-cloudy-day,8,428
1037,1,rain,21,188391
1038,4,cloudy,5,31
1039,3,wind,9,52
1040,4,clear-night,4,316
1041,5,,15,1727
1042,5,snow,1,160
1043,99,clear-night,0,4
1044,3,fog,22,7
1045,6,cloudy,11,7
1046,99,partly-cloudy-day,8,2
1047,3,wind,2,19
1048,99,rain,5,1
1049,4,,22,59
1050,2,rain,13,436
1051,3,rain,11,125
1052,5,cloudy,4,1989
1053,2,fog,5,79
1054,4,rain,22,56
1055,6,cloudy,13,2
1056,6,,22,1
1057,2,wind,17,765
1058,3,clear-night,0,620
1059,6,clear-night,4,29
1060,2,fog,17,55
1061,3,wind,20,54
1062,5,fog,11,433
1063,3,,7,26
1064,4,snow,5,2
1065,3,clear-day,11,772
1066,5,wind,2,833
1067,1,wind,5,12911
1068,4,cloudy,22,51
1069,1,snow,15,20823
1070,6,clear-day,6,7
1071,4,,21,56
1072,6,,4,1
1073,6,clear-night,17,9
1074,5,fog,22,545
1075,2,,15,358
1076,2,clear-day,10,3639
1077,1,wind,13,77526
1078,3,,19,73
1079,6,clear-night,2,11
1080,6,partly-cloudy-day,15,12
1081,99,partly-cloudy-day,13,1
1082,5,,6,626
1083,99,fog,9,1
