,weekofday,hour,icon,count
984,6,22,clear-night,188438
985,6,5,cloudy,7968
986,5,1,cloudy,22499
987,6,10,fog,1148
988,0,6,fog,1730
989,2,11,wind,13589
990,1,16,wind,20997
991,6,20,clear-day,21400
992,3,9,partly-cloudy-day,30865
993,0,19,partly-cloudy-night,40922
994,1,16,partly-cloudy-day,91592
995,5,17,clear-night,67369
996,6,22,cloudy,21985
997,1,13,,7530
998,4,23,snow,4009
999,6,0,,8928
1000,4,2,partly-cloudy-night,28604
1001,4,14,clear-day,117453
1002,4,9,wind,18598
1003,5,1,partly-cloudy-night,49450
1004,4,10,cloudy,14411
1005,3,23,fog,716
1006,0,3,wind,1954
1007,3,16,snow,2202
1008,1,4,clear-night,28703
1009,6,19,fog,1719
1010,6,23,fog,921
1011,5,22,cloudy,29168
1012,3,6,snow,478
1013,5,17,partly-cloudy-day,156737
1014,4,5,cloudy,7867
1015,1,8,wind,10139
1016,6,1,wind,20335
1017,6,1,,12400
1018,2,14,clear-day,102685
1019,5,3,rain,14367
1020,1,3,snow,674
1021,5,15,fog,3058
1022,1,3,clear-night,35116
1023,1,2,cloudy,6867
1024,6,7,cloudy,2530
1025,0,5,rain,4987
1026,6,18,snow,9834
1027,6,9,partly-cloudy-day,6288
1028,5,11,partly-cloudy-day,66319
1029,0,2,cloudy,6708
1030,1,11,clear-day,87451
1031,6,5,clear-night,67510
1032,4,6,wind,3027
1033,2,11,cloudy,27154
1034,6,16,wind,28978
1035,3,10,wind,8151
